,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Sla,5.97E-09,0.062730622,0.449,0.417,8.08E-05
Hspe1,6.82E-09,0.066681481,0.757,0.73,9.24E-05
Rasgrp1,1.38E-08,0.062713791,0.458,0.43,0.000187154
Stk17b,1.58E-08,-0.058271492,0.682,0.702,0.000214095
mt-Nd1,1.66E-08,0.065026743,0.534,0.523,0.00022472
Cd24a,1.67E-08,0.077172703,0.496,0.462,0.00022546
Ftl1,3.44E-08,-0.057877971,0.969,0.978,0.000466176
Dntt,6.51E-08,0.086640008,0.305,0.275,0.000881683
Camk4,7.22E-08,0.058369124,0.485,0.461,0.000977598
Arpp21,1.41E-07,0.059114137,0.241,0.212,0.001910571
Tespa1,2.01E-07,0.060347235,0.381,0.358,0.002718795
Myb,2.42E-07,-0.058711919,0.446,0.485,0.003280973
Hsph1,3.43E-07,0.060923936,0.301,0.275,0.004638827
Stmn1,4.55E-07,-0.084221228,0.358,0.392,0.006157028
Dusp5,4.88E-07,-0.055478042,0.229,0.257,0.006607202
Socs1,7.79E-07,-0.053694831,0.319,0.353,0.010555078
Cd8b1,1.05E-06,0.058369437,0.864,0.855,0.01416684
Il21r,1.16E-06,-0.066075006,0.366,0.392,0.015735268
Rag1,2.89E-06,0.053794975,0.256,0.228,0.039177964
,,,,,
,,,,,
