,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Lrp10,0.173116404799758,0.0270892636974973,0.376,0.377,1
H3f3b,0.191810182864854,-0.0232013837541083,0.939,0.958,1
Ccnd3,0.293252043265116,0.028066244156895,0.542,0.546,1
Abi3,0.301247285320706,0.0213640878014622,0.238,0.236,1
AW112010,0.36585377133475,0.0814245481446652,0.195,0.197,1
Trbv15,0.41811552741564,-0.0902938701096073,0.066,0.068,1
Clk1,0.424110827995196,0.0208285999227617,0.435,0.44,1
Trbv13-3,0.435929862872601,-0.0385931688405005,0.071,0.074,1
Ikzf2,0.466733421976808,0.0314187561817675,0.306,0.321,1
Trbv1,0.507814146442471,-0.0232112033739957,0.078,0.075,1
Trbv16,0.511992767316446,-0.0752085031731899,0.08,0.081,1
Ighm,0.552619247916985,0.0239091595155317,0.428,0.431,1
Trbv19,0.607316747530366,-0.0498088508634779,0.093,0.094,1
Trbv17,0.655240126626669,-0.0555093897004762,0.04,0.041,1
Trbc2,0.727425540150636,-0.0447515817811206,0.698,0.689,1
Ssbp2,0.808008762085206,0.0294212230276875,0.386,0.399,1
Trbv29,0.835765196636214,-0.0584631212522498,0.059,0.06,1
Trbv13-2,0.870106103158477,-0.0292213266670762,0.248,0.247,1
Trbv13-1,0.896965697196985,-0.0386695229423716,0.081,0.08,1
